variable,ensemble,model,experiment,start_yr,end_yr,year,fx,dx
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,950,958,954,-0.471038972538496,0.006146632709557842
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,959,967,963,-0.27550557984514196,0.03996924426045705
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,968,976,972,-0.04244465350266557,0.01472034741877338
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,977,985,981,0.2588032726669667,0.03566735648513181
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,986,994,990,0.5014932772732233,0.031026415833525584
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,995,1003,999,0.768861754302451,0.03282223697728279
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,1004,1012,1008,1.1026223058967366,0.03221153186239835
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,1013,1021,1017,1.4639844969830422,0.043134120549713335
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,1022,1030,1026,1.9183106052962178,0.05743069253957053
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,1031,1039,1035,2.3047297963063884,0.041676364330146196
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,1040,1048,1044,2.7562528218059135,0.04551938725153698
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,1049,1057,1053,3.174893162030179,0.05274493180271073
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,1058,1066,1062,3.656267362507953,0.057555843655868855
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,1067,1075,1071,4.181476409921383,0.046504677637457685
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,1076,1084,1080,4.61294257908158,0.0626061726090709
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,1085,1093,1089,5.19993412868194,0.06882064296980096
tas,r1i1p1f1,ACCESS-CM2,1pctCO2,1094,1099,1097,5.6259644865536345,0.024712786432260055
tas,r1i1p1f1,ACCESS-CM2,abrupt-4xCO2,950,958,954,2.2519327149719293,0.18373430066536664
tas,r1i1p1f1,ACCESS-CM2,abrupt-4xCO2,959,967,963,3.635002909787009,0.07838395804501368
tas,r1i1p1f1,ACCESS-CM2,abrupt-4xCO2,968,976,972,4.204021174408543,0.05096409885075839
tas,r1i1p1f1,ACCESS-CM2,abrupt-4xCO2,977,985,981,4.559249093496849,0.03599634116501961
tas,r1i1p1f1,ACCESS-CM2,abrupt-4xCO2,986,994,990,4.8402743535668895,0.028637490079359566
